date,confirm,suspect,dead,heal,importedCase,deadRate,healRate,updateTime
01.13,41,0,1,0,0,2.4,0.0,2021/1/6
01.14,41,0,1,0,0,2.4,0.0,2021/1/6
01.15,41,0,2,5,0,4.9,12.2,2021/1/6
01.16,45,0,2,8,0,4.4,17.8,2021/1/6
01.17,62,0,2,12,0,3.2,19.4,2021/1/6
01.18,198,0,3,17,0,1.5,8.6,2021/1/6
01.19,275,0,4,18,0,1.5,6.5,2021/1/6
01.20,291,54,6,25,0,2.1,8.6,2021/1/6
01.21,440,37,9,25,0,2.0,5.7,2021/1/6
01.22,574,393,17,25,0,3.0,4.4,2021/1/6
01.23,835,1072,25,34,0,3.0,4.1,2021/1/6
01.24,1297,1965,41,38,0,3.2,2.9,2021/1/6
01.25,1985,2684,56,49,0,2.8,2.5,2021/1/6
01.26,2761,5794,80,51,0,2.9,1.8,2021/1/6
01.27,4535,6973,106,60,0,2.3,1.3,2021/1/6
01.28,5997,9239,132,103,0,2.2,1.7,2021/1/6
01.29,7736,12167,170,124,0,2.2,1.6,2021/1/6
01.30,9720,15238,213,171,0,2.2,1.8,2021/1/6
01.31,11821,17988,259,243,0,2.2,2.1,2021/1/6
02.01,14411,19544,304,328,0,2.1,2.3,2021/1/6
02.02,17238,21558,361,475,0,2.1,2.8,2021/1/6
02.03,20471,23214,425,632,0,2.1,3.1,2021/1/6
02.04,24363,23260,491,892,0,2.0,3.7,2021/1/6
02.05,28060,24702,564,1153,0,2.0,4.1,2021/1/6
02.06,31211,26359,637,1542,0,2.0,4.9,2021/1/6
02.07,34598,27657,723,2052,0,2.1,5.9,2021/1/6
02.08,37251,28942,812,2651,0,2.2,7.1,2021/1/6
02.09,40235,23589,909,3283,0,2.3,8.2,2021/1/6
02.10,42708,21675,1017,3998,0,2.4,9.4,2021/1/6
02.11,44730,16067,1114,4742,0,2.5,10.6,2021/1/6
02.12,59882,13435,1368,5915,0,2.3,9.9,2021/1/6
02.13,63932,10109,1381,6728,0,2.2,10.5,2021/1/6
02.14,66576,8969,1524,8101,0,2.3,12.2,2021/1/6
02.15,68584,8228,1666,9425,0,2.4,13.7,2021/1/6
02.16,70635,7264,1772,10853,0,2.5,15.4,2021/1/6
02.17,72528,6242,1870,12561,0,2.6,17.3,2021/1/6
02.18,74279,5248,2006,14387,0,2.7,19.4,2021/1/6
02.19,75002,4922,2121,16157,0,2.8,21.5,2021/1/6
02.20,75993,5206,2239,18266,0,2.9,24.0,2021/1/6
02.21,76392,5365,2348,20673,0,3.1,27.1,2021/1/6
02.22,77041,4148,2445,22907,0,3.2,29.7,2021/1/6
02.23,77262,3434,2595,24757,0,3.4,32.0,2021/1/6
02.24,77779,2824,2666,27353,0,3.4,35.2,2021/1/6
02.25,78190,2491,2718,29775,0,3.5,38.1,2021/1/6
02.26,78630,2358,2747,32531,0,3.5,41.4,2021/1/6
02.27,78959,2308,2791,36157,0,3.5,45.8,2021/1/6
