name,continent,date,confirm,suspect,dead,heal
美国,北美洲,01.07,21857616,0,369990,13024142
法国,欧洲,12.13,2405255,0,57671,181581
西班牙,欧洲,01.07,1982544,0,51430,196958
秘鲁,南美洲,08.02,422183,0,19408,290835
英国,欧洲,04.17,104145,0,13759,375
意大利,欧洲,03.30,97689,0,10779,13030
德国,欧洲,03.30,63929,0,560,9211
伊朗,亚洲,03.31,44606,0,2898,14656
加拿大,北美洲,04.25,44526,0,2386,15479
瑞士,欧洲,03.30,15526,0,312,1823
奥地利,欧洲,04.17,14476,0,410,8986
比利时,欧洲,03.30,11899,0,513,1527
荷兰,欧洲,03.30,11814,0,864,253
韩国,亚洲,04.02,9976,0,169,5828
土耳其,亚洲,03.30,9217,0,131,105
塞尔维亚,欧洲,04.30,8724,0,173,1292
葡萄牙,欧洲,03.30,6408,0,140,43
以色列,亚洲,03.30,4347,0,15,139
挪威,欧洲,03.30,4284,0,26,7
巴西,南美洲,03.30,4256,0,136,6
澳大利亚,大洋洲,03.30,4245,0,18,244
瑞典,欧洲,03.30,3700,0,110,16
捷克,欧洲,03.30,2817,0,16,11
丹麦,欧洲,03.30,2724,0,72,73
马来西亚,亚洲,03.30,2626,0,37,479
爱尔兰,欧洲,03.30,2615,0,46,5
智利,南美洲,03.30,2449,0,8,156
卢森堡,欧洲,03.30,1988,0,22,40
罗马尼亚,欧洲,03.30,1952,0,46,206
厄瓜多尔,南美洲,03.30,1924,0,58,3
波兰,欧洲,03.30,1905,0,26,7
俄罗斯,欧洲,03.30,1836,0,9,66
日本本土,亚洲,03.28,1724,0,52,372
巴基斯坦,亚洲,03.30,1625,0,20,29
菲律宾,亚洲,03.30,1546,0,78,42
泰国,亚洲,03.30,1524,0,9,127
沙特阿拉伯,亚洲,03.30,1453,0,8,115
印度尼西亚,亚洲,03.30,1414,0,122,75
南非,非洲,03.30,1280,0,2,31
芬兰,欧洲,03.30,1240,0,11,10
希腊,欧洲,03.29,1156,0,38,52
印度,亚洲,03.30,1071,0,29,99
冰岛,欧洲,03.30,1020,0,2,135
墨西哥,北美洲,03.30,993,0,20,4
巴拿马,北美洲,03.30,989,0,24,4
多米尼加,北美洲,03.30,901,0,42,4
新加坡,亚洲,03.30,879,0,3,228
阿根廷,南美洲,03.30,820,0,80,72
克罗地亚,欧洲,03.30,713,0,6,55
钻石号邮轮,其他,03.31,712,0,11,603
哥伦比亚,南美洲,03.30,702,0,10,10
斯洛文尼亚,欧洲,03.29,684,0,9,10
爱沙尼亚,欧洲,03.29,645,0,1,20
卡塔尔,亚洲,03.30,634,0,1,48
阿联酋,亚洲,03.30,611,0,5,61
埃及,非洲,03.30,609,0,40,132
新西兰,大洋洲,03.30,589,0,1,56
阿塞拜疆,亚洲,04.05,584,0,5,32
伊拉克,亚洲,03.29,547,0,42,143
摩洛哥,非洲,03.30,516,0,27,13
巴林,亚洲,03.30,515,0,4,279
阿尔及利亚,非洲,03.30,511,0,31,32
亚美尼亚,亚洲,03.30,481,0,3,30
乌克兰,欧洲,03.30,480,0,11,6
立陶宛,欧洲,03.29,460,0,7,1
匈牙利,欧洲,03.30,447,0,15,34
黎巴嫩,亚洲,03.30,446,0,11,32
拉脱维亚,欧洲,03.30,347,0,0,1
斯洛伐克,欧洲,03.30,336,0,0,2
安道尔,欧洲,03.29,334,0,6,6
波黑,欧洲,03.30,324,0,6,8
保加利亚,欧洲,03.28,313,0,3,4
突尼斯,非洲,03.30,312,0,8,2
乌拉圭,南美洲,03.30,309,0,1,6
哈萨克斯坦,亚洲,03.30,302,0,1,21
